
index,video index,product,product name,video title,video link,time stamp,aspect,complaint label,transcript
206,143,Phone,Samsung Galaxy Note 9 ,Samsung Galaxy Note 9 Review with Pros & Cons - Almost Perfect?,https://www.youtube.com/watch?v=Shy5MGHiBp4,6:00-7:07,battery,1.0," But again, all the functionality of the S Pen is still there on this device.  Now moving to the battery life, this is a huge improvement.  I would say it has a 4000 milli amp hour battery.  And when I tested the Galaxy S8 last year, my biggest gripe was the battery life because  end of the typical day, it used to just come down to around 10 or 12 percent and that used  to make me very, very nervous with this Note 9.  Thankfully, that's not the case.  And guys, I'm testing this Note 9.  I've changed the screen resolution.  Before it comes at full HD, but I'm testing it one with the Quad HD plus and I've also  enabled this always screen on time.  Hence if you just keep it on full HD and disable this on screen on time, your mileage will  be even better.  But even with this setting, it was easily lasting me for a day and almost it was not a very  heavy day about one and a half days.  So definitely the battery life is a huge improvement.  I would say even if you're sort of a heavy user, it will easily last you for a typical  full day.  And that aspect I would say Samsung has done a great job.  Some people have quoted me that they are getting about two days of battery life with"
273,159,Phone,OnePlus 7T ,OnePlus 7T Review with Pros & Cons The Best of OnePlus?,https://www.youtube.com/watch?v=rBKc7Q1otB0,0:39-0:53,design,1.0," So let's quickly now break it down between the pros and cons.  And the first thing is now, finally like the OnePlus 70 Pro, this also has a 90 Hz display.  The regular ones had 60 Hz."
2,98,Phone,Samsung Galaxy S23 Ultra,The Samsung S23 Ultra is secretly INCREDIBLE,https://www.youtube.com/watch?v=zz70o2Ia4X0&t=1,1:46-1:54,os,1.0," this thing can read and write files almost two times faster, while consuming less power.  And all you have to do is to open up a few apps on your home screen to see"
326,171,Phone,Honor 8 Pro,Honor 8 Pro In-depth Review with Pros & Cons - It's almost there,https://www.youtube.com/watch?v=i9W-ulbetog,4:00-4:27,speaker,1.0," It does not have that stereo speaker set up.  But the single speaker is actually pretty loud and adequate.  So no issues regarding the loud speaker.  But I missed the fact that it does not have stereo speaker set up.  I also what do you say?  Another thing that I have noticed is that and this will be for music lovers.  If you listen to a lot of music, where the 3.5 headphone jack, the audio output that you  get from the headphone jack is excellent, I would say."
276,159,Phone,OnePlus 7T ,OnePlus 7T Review with Pros & Cons The Best of OnePlus?,https://www.youtube.com/watch?v=rBKc7Q1otB0,12:02-12:07,camera,0.0, And I don't know.  Some people might not like this design of this rounded camera.
292,163,Phone,Samsung Galaxy S20+,Samsung Galaxy S20+ Review with Pros & Cons,https://www.youtube.com/watch?v=zwygzOn40NI,3:14-3:39,storage,1.0, it handles every day tasks without any issues and this comes with 8 gigabytes of RAM and I  would say the RAM management also has been done well on this one I never faced any issues of  RAM management or anything the most of the recent apps that you are expect to be there as you can see  I was browsing stuff in the morning and all those things YouTube I was will be there in memory  so RAM management has been done and the one UI is good you can have that what do you say if
203,142,Phone,Nokia 8.1,Nokia 8.1 Review with Pros & Cons - Worth the Premium?,https://www.youtube.com/watch?v=WrNldp9wJWc,7:25-8:13,design,0.0," the front facing camera and I hope they improve it with the software update now I'm going to  another big calm that I've noticed with this device is that again it's a Nokia device so you  expect that the build quality everything really should be great about this in terms of build quality  it's good it doesn't give a creaking noise or anything and feels nice but what I've noticed is  notice closely at the top the paint is getting chipped up it got chipped up at two places and also  from the bottom so it's this is just with about 11 days of usage I don't know what will happen  after about four or five months of usage so definitely they have compromised a little bit on the  type of paint job that they have done and already it is exposing it so I don't like that and also  considering the price point and India this is priced at 27,000 as I've told you we only get one"
393,217,Phone,Samsung Galaxy On Nxt,Samsung Galaxy On Nxt Review is it any Good?,https://www.youtube.com/watch?v=81hK04P6vzU,0:40-0:55,design,1.0," So let's start with the pros, what I liked about this device.  The first thing that I'll immediately like with this device is the build quality and  styling.  The styling is actually really well done on this one.  So it looks like a very stylish phone, especially in this black color as you can see, it"
425,223,Phone,Moto G4,Moto G4 Plus now after 5 months a Re-Review,https://www.youtube.com/watch?v=Urkg3NQxqKU,3:05-3:22,camera,1.0, performance the good thing is that still the camera performance on the Moto G4 Plus is excellent the  rail facing camera with a 16 megapixel sensor and laser auto focusing system does still a  incredible job as you can see from the sampled shots and I have to say still in terms of camera
433,225,Phone,OnePlus 3,OnePlus 3 Long Term Review with 4 months of use,https://www.youtube.com/watch?v=SfMizgMKvEQ,1:25-1:42,os,1.0, a very fluid device.  Now when we talk about the performance of this device here also the OnePlus 3 has excellent  and it's performing brilliantly even after about 4 or months of usage and I have to say  it is one of the most fluid Android phones that I have used and prior to using this again
286,161,Phone,Samsung Galaxy M31,Samsung Galaxy M31 Review with Pros & Cons,https://www.youtube.com/watch?v=p_74rIzhOtQ,10:05-10:27,speaker,0.0," But when I actually tested the speakers, I felt that it could have been slightly louder.  As you can see, I'm trying to.  I guess this is run G that in this video, let's do the popper unboxing in first look.  Only single speaker as you can see, it can completely block it like this.  There's a popper in the unit.  So as you see, the speaker is adequate, I would say, but I wish it was slightly louder."
364,179,Phone,Realme 10 Pro,Realme 10 Pro + 5G Hands On Impressions & Opinion,https://www.youtube.com/watch?v=Y1EexaeXwaE&list=PL3BCC0B74F1D775AF&index=4,2:32-3:04,design,0.0, You have this curved screen and everything but when we move towards the back they have  this shiny pattern over it.  I don't know how it looks on the screen but in reality this does not look that elegant  and it looks cheap.  In fact it's a royal fingerprint magnet.  You have to constantly wipe it every 5 minutes otherwise it attracts fingerprints like anything  and guys this is not last.  This is actually plastic.  So they could have done a lot better job.  I felt the real mean 9 pro plus last year had a much better battery back on this one.
113,122,Phone,Redmi Note 7 Pro,"Redmi Note 7 Pro Review with Pros & Cons
",https://www.youtube.com/watch?v=EBMleSM4ROg,12:39-12:53,camera,0.0," Use it with a case, I would say.  And also moving to the rear camera, as you can see, the rear camera just juts out a  little bit.  So again, you got to be careful if you don't use it with a case.  And if you keep it on the desk, actually it's resting on that camera and the phone"
117,123,Phone,Redmi Note 8 Pro,Redmi Note 8 Pro Review with Pros & Cons Best Mid Range Smartphone?,https://www.youtube.com/watch?v=IIP3l-_WNbE,14:11-14:24,os,0.0," Now, let's also talk about one more thing.  As I've told you, initially, when I got this phone,  I had some serious touch lag issues.  And only one other user has also mentioned about that to me,"
299,164,Phone,Samsung Galaxy Note 8,Samsung Galaxy Note 8 Review with Pros & Cons - Playing It Safe!,https://www.youtube.com/watch?v=WmGnNWByllE,10:42-11:02,storage,1.0," And I think so that really helps.  But in terms of RAM management, the RAM management was done very well on this level.  As you can see, I have tons and tons of apps running on this one.  And I simply don't bother about it.  And I just tap those apps.  They just load as you can see.  So I don't have to worry about these.  And RAM management has been done very well on this device.  So you don't have to worry about it."
197,141,Phone,Zenfone Max Pro M2 ,Zenfone Max Pro M2 Review with Pros & Cons - Ideal Mid Ranger?,https://www.youtube.com/watch?v=YGoIkswxGEI,10:26-11:21,design,0.0, that I liked about this Zenfone Max Pro M2 and now let's move to the cons and the first thing is  that the handset is actually pretty light for a 5000 milliamp hour battery I really appreciate  that because having a 5000 milliamp hour battery makes the handset very heavy this is actually  very light and the weight balance is perfect but again to do that they went with this as you look  at the back it looks like a glass screen but guys it's not glass it's sort of a polycarbonate  screen and as you can see because of that you have to be careful it looks nice like a glass but again  as you can see in certain angles I could get some scratches on this one so again use the case that  is supplied in the box otherwise over time you will definitely get scratches I was using it very  roughly I was just keeping it in my bag with keys and stuff to see how it holds up but definitely  yes if you use it like that without the case it might get some scratches now I'm going to
217,146,Phone,Samsung Galaxy A50,Samsung Galaxy A50 Review with Pro's & Cons - Camera Phone?,https://www.youtube.com/watch?v=QUGQWJXyz4Y,0:52-1:18,design,1.0, First I will talk about what I like about this device and then we will move to the cons.  And the first thing I liked about this device is that 6.4 inch that is a AMOLED screen  that is a full HD plus screen and it is a very good quality screen that we are getting.  And also like the fact that they went with this drop down notch not that punch hole notch  that we are seeing in the higher end devices because I feel this is a lot subtle and you
320,170,Phone,BlackBerry KeyOne Black ,BlackBerry KeyOne Black Review - The Business Android Smartphone,https://www.youtube.com/watch?v=49fDmyI4Iug&t=11s,1:22-1:44,design,1.0, And first let's talk about the build quality.  The build quality of this device is excellent.  It feels really solid in the hand.  It's unlike the Blackberry Prif which I covered about a year ago.  There I was not happy with the build quality but this one is that solid legendary build quality  that we expect from Blackberry.  The build quality is excellent.
190,140,Phone,Realme U1 ,Realme U1 Review with Pros & Cons - The Selfie Smartphone,https://www.youtube.com/watch?v=lf1NJ4H_bkA,1:01-1:33,design,1.0," But let's start with the pros and con, let's start with the pros.  And the first thing that I liked with this device is that 6.3 inch screen.  And in fact, if you look at the phone, it is very similar to the Redmi, what do you  say, sorry, the Realme 2 Pro.  In fact, it looks almost identical to that, even the screen size, etc.  This is the Realme 2 Pro and this is the new one.  So it comes with the same 6.3 inch screen, it's a full HD screen, IPS, great screen.  The quality of the screen is really good.  And I like the fact that it doesn't have that big notch or something."
412,220,Phone,Google Pixel XL,Google Pixel XL Smartphone Review Good & The Bad,https://www.youtube.com/watch?v=dYK_NMI2Aeg,8:39-8:59,speaker,0.0, Now moving to the loudspeaker it has just one speaker here at the bottom and it's in a  very odd position I would say and the thing is that it's not very loud.  So it's sort of disappointing in terms of the speaker output in my Frank opinion.  If you're coming from the Nexus 6P the Nexus 6P had far better speaker performance.
164,134,Phone,Honor pLAY ,Honor Play Review with Pros & Cons - The Affordable Flagship,https://www.youtube.com/watch?v=DtQ6fzNOGNg,0:50-1:20,design,1.0," First let's talk about the pros and then we move to the cons section.  And the first thing that I really liked about this device is the build quality.  The build quality is amazing.  It's not the best build quality we have ever seen but for this price fund the base variant  of this device is sold in India that comes with 4GB of RAM for just 20,000 and for that  price I would say the build quality is premium.  It's a block of metal that you get and no flexing or anything."
360,178,Phone,Lenovo P2,Lenovo P2 Battery King In-depth Review with Pros & Cons,https://www.youtube.com/watch?v=BuD01yduWa4,9:22-9:48,camera,0.0, is a huge improvement especially the ray facing camera.  Now moving to the front facing camera which is a 5 megapixel shooter.  I would say the camera performance is just average.  In outdoor conditions as you can see where we have a lot of lighting the pictures come out  to be really good but in indoor lighting and artificial lighting conditions the pictures  tend to be a little bit soft to my liking when you zoom in as you can see.  So the front facing camera is strictly very average I would say.
88,117,Phone,OnePlus 8,"OnePlus 8 Review with Pros & Cons & My Thoughts
",https://www.youtube.com/watch?v=qA2lmfm-kS8,0:54-1:21,design,1.0, Anyways let's talk about it and the first thing that I actually liked about this smartphone  is strangely the in-hand feel.  In-hand feel is actually really good of this handset.  So it's having that 6.55 inch screen it's actually comfortable to hold because that  is also rounded a little bit so it does not feel very big and the biggest thing I would  say is that the way balance has been done well on this one this was always a problem
389,184,Phone,Samsung Z Fold 4,Samsung Z Fold 4 Full Review | The 'S' Fold Upgrade,https://www.youtube.com/watch?v=b_oU9Z5LlLI&list=PL3BCC0B74F1D775AF&index=9,3:18-3:29,design,1.0," One thing to notice that though these are very heavy phones, in this, you'll be using  this phone like this and for taking cause you'll look, you'll be using it like this.  So it's actually very comfortable to hold in single hand because it's actually not that"
429,224,Phone,Lenovo Z2 Plus,Lenovo Z2 Plus In-depth Review with Pros & Cons,https://www.youtube.com/watch?v=pX91coZpuNI,2:41-3:04,design,1.0," Another thing that is special on this phone and very different I would say is that this  is a button, the home button is actually not just a single home button.  It acts like six different functions it has.  You can customize it.  For example, I have customized it if I tap it on on a long time, the notification bar just  comes down like this.  You can even actually switch between the apps."
366,179,Phone,Realme 10 Pro,Realme 10 Pro + 5G Hands On Impressions & Opinion,https://www.youtube.com/watch?v=Y1EexaeXwaE&list=PL3BCC0B74F1D775AF&index=4,5:42-6:33,os,0.0, be done but now coming to the biggest con that I have with this smartphone was if I just  swipe up notice okay let's not even swipe up if I just go to this with all this majority  of the apps on this is actually bloatware I understand many of the midrange phones are  bloatware but this is priced at about 25000 and the amount of bloatware that this one has  is just crazy just too much of a bloatware I have to give a lot of permission and apart  from that they are also pushing this something called in the known as hot apps and to be  very frank randomly it shows apps and sometimes it shows so shady apps that I feel uncomfortable  with this device and it's actually baked into this and in fact it also frequently actually
194,141,Phone,Zenfone Max Pro M2 ,Zenfone Max Pro M2 Review with Pros & Cons - Ideal Mid Ranger?,https://www.youtube.com/watch?v=YGoIkswxGEI,0:38-1:06,design,1.0, now jump between the pros and cons and first let's start with the pros about this device  and the first pro that I like about this device is it's having that new 6.26 inch screen  and the notch is also actually pretty small and they have actually utilized the notch.  The notch in fact has a front facing flash and as you can see it's not very big. So this  is what you get and it's a good quality full HD plus screen it's IPS great screen. So
318,168,Phone,Nokia 6,Nokia 6 Smartphone Review with Pros & Cons A Mixed Bag!,https://www.youtube.com/watch?v=7X1M1WTErQE,9:39-10:01,os,0.0, most part it is okay but I have noticed quite a bit of UI lags at time with this no  casics so you have to be aware of this one it doesn't happen every time but yeah I noticed  it about 10% of the time for example you are working on an app and come back to the UI  sometimes when you move around and swipe around you will notice some UI lag which was slightly  disappointing.
370,180,Phone,Motorola Edge 30 Ultra,Motorola Edge 30 Ultra Review | Almost Ideal Flagship,https://www.youtube.com/watch?v=B7qYxERmCII&list=PL3BCC0B74F1D775AF&index=5,10:37-10:53,camera,0.0, biggest corner I have with the smartphone even in one boxing video I did not like it though with  the rear facing camera the video you can shoot even at 8K 4K and all those resolution but I simply  did not like the video quality the colors was oversaturated and something like that yes the update
112,122,Phone,Redmi Note 7 Pro,"Redmi Note 7 Pro Review with Pros & Cons
",https://www.youtube.com/watch?v=EBMleSM4ROg,1:12-1:27,design,1.0," And let's also talk about the screen on this one.  It has a 6.3-inch full HD.  This is an IPS LCD screen.  And for the price, I would say the screen quality is actually good.  I didn't have any issues of screen bleeding or anything on the unit that I have."
186,139,Phone,Huawei Mate 20 Pro,Huawei Mate 20 Pro Review with Pros & Cons - Best of 2018?,https://www.youtube.com/watch?v=Gf-uP60Qbww,1:28-1:48,design,1.0, First thing that I liked about this phone is in terms of looks they have been a very unique  thing the camera placement also as it has that triple camera setup it's done very differently  and also especially I don't know about other colors but at least on this one this color  this is known as the twilight color it looks actually really cool and as I've told you
263,156,Phone,Realme 5 Pro ,Realme 5 Pro Smartphone Review with Pros & Cons,https://www.youtube.com/watch?v=UVeHz8ZAmZw&t=8s,9:05-9:25,os,0.0, you need to note also this is typical to almost every real me phone even on this one  we actually do not have any physical LED notification light so that is something that I  surely still miss on real me phones that's the same case with this one now moving to the  back this one is also having that what you say plastic polycarbonate back and I'm
324,171,Phone,Honor 8 Pro,Honor 8 Pro In-depth Review with Pros & Cons - It's almost there,https://www.youtube.com/watch?v=i9W-ulbetog,1:34-1:49,design,1.0, But the thing is that this is having a quad HD display.  And the screen quality is actually really good.  It's an IPS screen.  And even if you see the viewing angles are really good.  And the quality of the panel that Honor has put on this is actually really really good.  No issues regarding that.
224,147,Phone,Realme 3 Pro,Realme 3 Pro Review with Pros & Cons,https://www.youtube.com/watch?v=LcpapR1YUhc,11:04-11:32,os,0.0, version of android and also the android next version will come to this device but still it is  running over color OS 6 yes it's an improvement over color OS 5 I would say memory management is  better than color OS 5 and you also get this app tray but again still it's color OS some of the  functionality like deeper battery analysis the amount of SOT you get are simply not there on color  OS so it's still that typical color OS and lastly at the back is actually plastic polycarbonate
57,110,Phone,Motorola One Fusion+,"Motorola One Fusion+ Review with Pros & Cons Ideal Mid-Ranger
",https://www.youtube.com/watch?v=BNpAigK0Bxo,3:10-3:31,storage,1.0, And this comes in only one variant 6GB so far.  I'm happy to say that that 6GB so far handles everything you throw on it fine.  We don't have to worry about it so that's actually a nice thing.  And the storage is again 128GB which I feel for this price point is decent.
390,184,Phone,Samsung Z Fold 4,Samsung Z Fold 4 Full Review | The 'S' Fold Upgrade,https://www.youtube.com/watch?v=b_oU9Z5LlLI&list=PL3BCC0B74F1D775AF&index=9,5:10-5:41,os,1.0," open the Fold 3 versus the Fold 4.  Now moving to the next thing that is regarding the processor.  Here I am very, very happy because all the Flip 3, Fold 3 both of them actually come  with the new Snapdragon A plus Gen 1 SOC.  And this is a shame of a processor.  This is also based on Fold Nano Meter Pro.  It says, it is optimized very well.  In fact, one of the best flagship processor from Qualcomm in the last couple of years.  Yes, it is that good.  And it shows in the performance.  Performance is not an issue."
344,175,Phone,Samsung Galaxy C7 Pro ,Samsung Galaxy C7 Pro Review - Worth Your Money Good & The Bad,https://www.youtube.com/watch?v=iWTHGZHl2mY,1:45-2:05,storage,1.0, I have tons and tons of apps running and then also the phone does not have any problem while  you're multitasking and the RAM management has been done good and it's having the new Samsung  UI that they have put and I did not notice any stutteriness or lagging as well I was using this device  so in terms of RAM management and general usage I did not have any issues with this device
392,184,Phone,Samsung Z Fold 4,Samsung Z Fold 4 Full Review | The 'S' Fold Upgrade,https://www.youtube.com/watch?v=b_oU9Z5LlLI&list=PL3BCC0B74F1D775AF&index=9,19:50-20:04,design,0.0," this four phone.  Okay, the first thing is the weight should be reduced further.  Yes, I know this is the lightest in the four four at 263 grams.  But I feel that's still a heavy phone compared to regular smartphones."
233,149,Phone,Samsung Galaxy M40,Samsung Galaxy M40 Review with Pros & Cons - Mixed Feelings,https://www.youtube.com/watch?v=pXu8LgGA0Jg,6:33-6:50,design,0.0," But at this price mark, I'm slightly disappointed with the TFT screen that we are getting.  Also, as it's having that full view screen, we do not have any physical LED notification light  on this one.  And also, it does not have that earpiece, as I've mentioned.  The screen actually vibrates and that's how you hear."
421,222,Phone,Moto Z,Moto Z Play In-depth Review the Energizer Bunny,https://www.youtube.com/watch?v=X_5QzWdpPec,9:23-9:46,speaker,0.0," Also regarding the speaker output, the speaker is here in the earpiece.  I would say the speaker output is decent, but always felt that it should have two levels  more in the volume level.  It was fine for day to day activities.  But whenever I was taking calls on the speaker phone, it was slightly on the weaker side.  Also again, now talking about the Moto Mods that you can slap on this device."
192,140,Phone,Realme U1 ,Realme U1 Review with Pros & Cons - The Selfie Smartphone,https://www.youtube.com/watch?v=lf1NJ4H_bkA,7:35-7:50,design,0.0," Now let's move to some of the calls with this device.  The first thing is that, yes, we have that very small notch or whatever.  I like it, but again, it does not have a physical LED notification light.  So that is something that is missing on this one."
328,171,Phone,Honor 8 Pro,Honor 8 Pro In-depth Review with Pros & Cons - It's almost there,https://www.youtube.com/watch?v=i9W-ulbetog,12:53-13:04,os,0.0," And lastly, again, it's Honor device.  So regarding software updates, they are not that fast.  So you have to be aware of that software updates are actually pretty slow, generally on"
272,158,Phone,Asus ROG Phone 2,Asus ROG Phone 2 Review with Pros & Cons A Cut Above,https://www.youtube.com/watch?v=eKDCmNvjMiA,14:37-14:57,storage,0.0," That's not a problem, RAM management was fine.  But the storage is just 128 gigabytes.  And we do not have any micro SD cards locked on this one.  So that is something you have to be aware.  Yes, we do have one more variant that comes with  512 gigabytes of storage.  That comes with actually 12 gigabytes of RAM.  But personally, I feel the pricing of that one is insane."
313,167,Phone,LG Q6,LG Q6 Review with Pros & Cons - Looks Great But Practical?,https://www.youtube.com/watch?v=ygHZcNFXIyI,6:53-7:13,os,0.0, that really annoyed me and these are the cons with the LG Q6.  And the first thing I noticed is that as this phone does not have any fingerprint scanner  so you have to rely on the face unlocking feature and I would say in practical usage the face  unlocking feature simply does not work all the time.
95,118,Phone,Poco X3 Pro,"Poco X3 Pro Review with Pros & Cons Power under Rs 20K
",https://www.youtube.com/watch?v=na9iUxvpoxY,11:24-11:31,storage,0.0," But again, still I would say the memory management is slightly on the aggressive side on this smartphone."
115,123,Phone,Redmi Note 8 Pro,Redmi Note 8 Pro Review with Pros & Cons Best Mid Range Smartphone?,https://www.youtube.com/watch?v=IIP3l-_WNbE,1:42-1:50,design,1.0," And like the fact that the screen quality is a good one. It's an IPS great screen.  So the viewing angles are also actually good on this one. And if you notice,"
181,137,Phone,Honor 8X Mid Range,Honor 8X Mid Range Smartphone Review with Pros & Cons,https://www.youtube.com/watch?v=4bI6K8RYCnc,12:22-12:39,camera,0.0, is frankly feel why they did that it should have been higher and also slightly in terms  of camera in low lighting situations I feel some of the other devices do slightly better  but overall I would say considering the price part of this device at 15000 it's a pretty
162,133,Phone,LG G7+,LG G7+ Review with Pros & Cons Almost Ideal but LG,https://www.youtube.com/watch?v=w6yznQRnX6E,10:22-10:38,speaker,0.0, high priority you have the quad DAC and everything.  I don't know why LG opted for just a single speaker.  Yes it is loud I don't have a problem with that but you simply don't get that experience.  They should have given what you say speaker even in the year is because most of the other
23,103,Phone,Poco X5 Pro,"Poco X5 Pro - Ideal Value Mid Ranger or Not?
",https://www.youtube.com/watch?v=6pwLc3ScKDo,5:02-5:18,os,0.0, But again if you notice this is actually still running on Android 12 and this is my first  con with this device.  Now it's 2023 and Android 14 beta is actually running out right now.  Developer previews and other things but this is still stuck at Android 12 and Poco is
